City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port lincoln,-34.7333,135.8667,13.58,73,3,2.9,AU,1683577467
1,minas de marcona,-15.2119,-75.1103,20.08,63,4,6.7,PE,1683577468
2,yellowknife,62.456,-114.3525,14.29,51,75,2.57,CA,1683577194
3,waitangi,-43.9535,-176.5597,15.46,95,100,3.13,NZ,1683577468
4,vadso,70.0744,29.7487,3.09,81,75,5.66,NO,1683577468
5,port elizabeth,-33.918,25.5701,17.28,96,0,1.03,ZA,1683577469
6,edinburgh of the seven seas,-37.0676,-12.3116,15.45,63,100,5.11,SH,1683577469
7,wenchang,30.904,118.4887,11.1,78,48,2.17,CN,1683577470
8,ilulissat,69.2167,-51.1,-0.99,86,75,2.57,GL,1683577470
9,margaret river,-33.95,115.0667,17.77,52,100,5.47,AU,1683577470
10,constantia,44.1833,28.65,10.39,92,100,4.07,RO,1683577471
11,impfondo,1.6381,18.0667,24.88,77,77,0.85,CG,1683577471
12,ribeira grande,38.5167,-28.7,17.22,88,40,1.03,PT,1683577471
13,iqaluit,63.7506,-68.5145,-3.15,73,20,9.26,CA,1683577472
14,bethel,41.3712,-73.414,24.79,35,0,4.63,US,1683577472
15,tagiura,32.8817,13.3506,21.36,61,100,14.52,LY,1683577472
16,waingapu,-9.6567,120.2641,25.8,84,98,7.4,ID,1683577473
17,albany,42.6001,-73.9662,21.99,34,7,1.34,US,1683577361
18,port-aux-francais,-49.35,70.2167,5.34,95,100,17.65,TF,1683577474
19,ituiutaba,-18.9689,-49.465,27.48,51,14,0.97,BR,1683577474
20,hanceville,34.0607,-86.7675,28.42,63,100,4.89,US,1683577474
21,adamstown,-25.066,-130.1015,21.73,55,100,6.64,PN,1683577475
22,santa ana,33.7456,-117.8678,25.53,59,20,5.14,US,1683577439
23,aykhal,66.0,111.5,-3.68,95,100,6.64,RU,1683577254
24,stanley,54.868,-1.6985,13.49,92,40,2.06,GB,1683577475
25,pires do rio,-17.2997,-48.2794,25.45,55,12,1.18,BR,1683577476
26,afaahiti,-17.75,-149.2833,27.93,74,98,4.56,PF,1683577476
27,betio village,1.358,172.9211,29.02,79,80,6.72,KI,1683577476
28,grytviken,-54.2811,-36.5092,0.02,81,11,4.85,GS,1683577476
29,greymouth,-42.4667,171.2,15.78,94,100,6.57,NZ,1683577477
30,thompson,55.7435,-97.8558,21.09,28,40,2.06,CA,1683577337
31,tosontsengel,48.7567,98.2839,2.67,47,100,1.61,MN,1683577477
32,kavieng,-2.5744,150.7967,27.81,77,99,2.21,PG,1683577477
33,nogliki,51.8333,143.1667,-1.13,93,100,2.5,RU,1683577477
34,kapuskasing,49.4169,-82.4331,14.0,24,75,3.6,CA,1683577478
35,las trojes,14.0667,-85.9833,33.25,28,77,3.84,HN,1683577478
36,tiksi,71.6872,128.8694,-12.4,88,99,4.4,RU,1683577478
37,ushuaia,-54.8,-68.3,9.81,46,40,4.12,AR,1683577478
38,carnarvon,-24.8667,113.6333,22.51,65,54,0.25,AU,1683577479
39,yemva,62.59,50.8594,0.07,85,80,3.93,RU,1683577479
40,ulladulla,-35.35,150.4667,10.46,76,73,3.68,AU,1683577479
41,strezhevoy,60.7333,77.5889,1.89,53,7,7.11,RU,1683577479
42,zhangye,38.9342,100.4517,6.33,83,100,3.02,CN,1683577480
43,codrington,-38.2667,141.9667,12.93,77,100,4.96,AU,1683577480
44,chonchi,-42.6128,-73.8092,9.51,84,100,0.52,CL,1683577480
45,puerto natales,-51.7236,-72.4875,7.25,81,75,5.66,CL,1683577480
46,blackmans bay,-43.0167,147.3167,11.52,72,83,6.64,AU,1683577480
47,talnakh,69.4865,88.3972,-2.66,94,100,2.99,RU,1683577481
48,tura,25.5198,90.2201,23.94,32,0,2.07,IN,1683577481
49,neiafu,-18.65,-173.9833,27.38,89,75,1.03,TO,1683577481
50,bilibino,68.0546,166.4372,-6.02,87,100,1.16,RU,1683577481
51,anadyr,64.75,177.4833,-3.72,93,100,8.0,RU,1683577482
52,dryden,49.7833,-92.7503,16.16,51,75,6.17,CA,1683577482
53,arraial do cabo,-22.9661,-42.0278,24.92,83,20,6.17,BR,1683577482
54,morinville,53.8001,-113.652,17.69,58,40,5.66,CA,1683577396
55,huilong,31.8111,121.655,12.29,69,0,1.31,CN,1683577482
56,egilsstadir,65.2653,-14.3948,7.95,93,100,4.12,IS,1683577483
57,vilyuchinsk,52.9306,158.4028,4.15,89,100,4.28,RU,1683577483
58,batalha,-9.6778,-37.1247,29.28,52,16,6.82,BR,1683577483
59,huarmey,-10.0681,-78.1522,25.33,75,50,4.87,PE,1683577483
60,bardai,11.65,7.2333,30.6,24,59,3.33,NG,1683577484
61,happy valley-goose bay,53.3168,-60.3315,5.17,48,75,6.69,CA,1683577484
62,qaqortoq,60.7167,-46.0333,2.39,82,93,1.4,GL,1683577484
63,ust-nera,64.5667,143.2,-1.56,85,100,1.98,RU,1683577484
64,avarua,-21.2078,-159.775,27.03,83,75,5.66,CK,1683577485
65,naze,28.3667,129.4833,19.51,69,59,7.1,JP,1683577485
66,talgram,27.05,79.65,28.73,27,0,2.53,IN,1683577485
67,rumphi,-11.0186,33.8575,15.08,94,2,1.48,MW,1683577485
68,nemuro,43.3236,145.575,2.44,81,10,0.56,JP,1683577486
69,freeport,40.6576,-73.5832,26.94,36,0,6.17,US,1683577486
70,bredasdorp,-34.5322,20.0403,13.58,93,30,1.46,ZA,1683577486
71,cabo san lucas,22.8909,-109.9124,32.17,30,40,2.06,MX,1683577486
72,hithadhoo,-0.6,73.0833,28.24,75,37,4.77,MV,1683577487
73,isfana,39.8386,69.5306,8.31,52,0,2.12,KG,1683577487
74,mettmann,51.25,6.9667,17.12,76,20,3.09,DE,1683577487
75,dhidhdhoo,6.8833,73.1,29.32,70,77,5.21,MV,1683577487
76,kavaratti,10.5669,72.642,29.21,60,6,3.88,IN,1683577488
77,isafjordur,66.0755,-23.124,6.29,91,77,3.05,IS,1683577488
78,jinchang,38.4953,102.1739,7.36,75,100,2.01,CN,1683577488
79,dapa,9.7594,126.0531,27.17,77,64,1.64,PH,1683577488
80,guerrero negro,27.9769,-114.0611,19.6,57,0,8.98,MX,1683577489
81,atafu village,-8.5421,-172.5159,29.05,76,8,5.72,TK,1683577489
82,college,64.8569,-147.8028,10.18,59,75,2.57,US,1683577489
83,lionel town,17.8101,-77.2406,30.94,59,90,5.51,JM,1683577489
84,susuman,62.7833,148.1667,-1.8,89,64,0.56,RU,1683577490
85,kitimat,54.0524,-128.6534,18.28,42,15,0.45,CA,1683577490
86,cestos city,5.46,-9.5828,27.92,82,25,4.62,LR,1683577490
87,vilyuysk,63.7553,121.6247,-11.46,93,59,1.87,RU,1683577490
88,invercargill,-46.4,168.35,12.36,95,58,3.42,NZ,1683577491
89,santa marta,11.2408,-74.199,36.03,49,20,3.09,CO,1683577409
90,matadi,-5.8167,13.45,26.17,91,18,1.15,CD,1683577491
91,woolgoolga,-30.1106,153.2007,12.93,52,2,3.54,AU,1683577491
92,lebu,-37.6167,-73.65,12.74,64,100,6.0,CL,1683577491
93,paita,-5.0892,-81.1144,27.53,70,8,6.39,PE,1683577492
94,san antonio de pale,-1.4014,5.6325,28.68,75,20,4.06,GQ,1683577492
95,puerto ayora,-0.7393,-90.3518,31.98,89,61,2.68,EC,1683577492
96,merizo village,13.2658,144.6691,27.31,91,2,4.91,GU,1683577492
97,la passe,45.5549,-0.8967,16.13,81,100,1.71,FR,1683577492
98,coahuayana de hidalgo,18.7,-103.6583,34.09,44,1,3.73,MX,1683577493
99,olonkinbyen,70.9221,-8.7187,1.71,100,100,1.79,SJ,1683577493
100,haiku-pauwela,20.9219,-156.3051,27.01,55,20,9.77,US,1683577493
101,acapulco de juarez,16.8634,-99.8901,31.9,66,20,4.63,MX,1683577222
102,touros,-5.1989,-35.4608,27.22,77,59,5.68,BR,1683577494
103,wanning,18.8003,110.3967,25.71,91,85,2.82,CN,1683577494
104,badger,64.8,-147.5333,10.14,53,40,2.57,US,1683577494
105,whitehorse,60.7161,-135.0538,10.57,32,40,7.15,CA,1683577247
106,lompoc,34.6391,-120.4579,23.16,68,20,9.77,US,1683577302
107,udachny,66.4167,112.4,-3.08,79,100,10.32,RU,1683577495
108,mejit,10.2753,170.8646,25.66,88,100,1.8,MH,1683577495
109,mount gambier,-37.8333,140.7667,11.42,83,89,2.71,AU,1683577495
110,san pedro pochutla,15.7333,-96.4667,34.28,51,27,3.94,MX,1683577495
111,airway heights,47.6446,-117.5933,17.84,40,75,2.57,US,1683577496
112,vorgashor,67.5833,63.95,-6.52,97,100,2.86,RU,1683577496
113,hammerfest,70.6634,23.6821,1.25,100,75,1.54,NO,1683577496
114,ulricehamn,57.7916,13.4142,12.3,53,100,1.58,SE,1683577496
115,coruripe,-10.1256,-36.1756,26.56,77,18,3.25,BR,1683577497
116,west island,-12.1568,96.8225,25.99,94,40,1.54,CC,1683577497
117,pacific grove,36.6177,-121.9166,18.52,75,40,5.14,US,1683577260
118,st. john's,47.5649,-52.7093,8.75,88,100,13.38,CA,1683577497
119,ramnicu sarat,45.3833,27.05,6.87,88,100,6.82,RO,1683577497
120,ngereklmadel,7.4883,134.4856,25.05,88,75,3.09,PW,1683577498
121,port mathurin,-19.6833,63.4167,25.82,74,59,9.78,MU,1683577498
122,al qadarif,14.0349,35.3834,33.68,11,4,3.9,SD,1683577498
123,hermanus,-34.4187,19.2345,16.56,87,3,0.9,ZA,1683577498
124,ouesso,1.6136,16.0517,26.34,75,100,0.78,CG,1683577498
125,newman,37.3138,-121.0208,22.19,50,3,1.79,US,1683577499
126,dzhangala,49.2167,50.3333,8.2,63,100,10.05,KZ,1683577499
127,ha'il,27.5219,41.6907,25.01,19,0,3.09,SA,1683577243
128,gadzhiyevo,69.2551,33.3362,0.79,97,100,6.55,RU,1683577499
129,yuzhno-kurilsk,44.0306,145.8556,1.74,89,15,3.27,RU,1683577499
130,ta`u,-14.2336,-169.5144,27.52,79,30,5.98,AS,1683577500
131,new norfolk,-42.7826,147.0587,12.18,66,98,0.45,AU,1683577500
132,kruisfontein,-34.0033,24.7314,16.05,88,86,2.87,ZA,1683577500
133,tralee,52.2704,-9.7026,11.42,93,21,2.04,IE,1683577500
134,mikhaylovskoye,51.8239,79.7172,17.81,26,12,2.8,RU,1683577501
135,abanilla,38.2054,-1.0415,20.35,79,77,2.52,ES,1683577501
136,taiynsha,53.8478,69.7639,9.71,49,100,1.24,KZ,1683577502
137,tolanaro,-25.0319,46.9987,23.04,94,20,7.2,MG,1683577502
138,lodja,-3.4833,23.4333,23.2,80,44,0.89,CD,1683577503
139,papatowai,-46.5619,169.4708,14.21,86,100,3.24,NZ,1683577503
140,verkhnevilyuysk,63.4453,120.3167,-9.6,96,100,1.73,RU,1683577504
141,hasaki,35.7333,140.8333,11.23,62,100,8.68,JP,1683577504
142,portland,45.5234,-122.6762,19.7,56,75,3.13,US,1683577238
143,nikolayevsk-on-amure,53.1406,140.73,1.43,79,100,2.05,RU,1683577505
144,iskateley,67.6803,53.1512,-0.3,96,100,6.96,RU,1683577279
145,taoudenni,22.6783,-3.9836,38.69,8,100,4.65,ML,1683577511
146,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,65,75,6.0,RU,1683577511
147,thunder bay,48.4001,-89.3168,13.99,47,75,5.14,CA,1683577512
148,wamba,8.9333,8.6,28.8,53,17,0.51,NG,1683577512
149,korla,41.7597,86.1469,11.77,40,0,1.45,CN,1683577513
150,panchagarh,26.3313,88.562,25.75,47,0,3.57,BD,1683577513
151,puerto baquerizo moreno,-0.9,-89.6,27.55,89,40,4.63,EC,1683577513
152,tobol'sk,58.2,68.2667,2.17,46,0,2.77,RU,1683577369
153,wynyard,-41.0,145.7167,9.43,93,100,4.34,AU,1683577514
154,grantsville,40.5999,-112.4644,23.86,37,40,4.02,US,1683577514
155,aasiaat,68.7098,-52.8699,-1.9,83,100,6.0,GL,1683577515
156,sambuca di sicilia,37.6494,13.1109,13.42,96,100,0.94,IT,1683577515
157,kankan,10.3854,-9.3057,25.22,77,100,3.27,GN,1683577516
158,yanam,16.7333,82.2167,27.34,89,70,1.07,IN,1683577516
159,luderitz,-26.6481,15.1594,16.15,62,0,5.49,NA,1683577517
160,iwanai,42.9744,140.5089,4.5,81,9,3.17,JP,1683577517
161,fort saskatchewan,53.7168,-113.2187,18.36,50,24,2.24,CA,1683577517
162,alvaraes,-3.2208,-64.8042,28.36,87,92,1.83,BR,1683577518
163,karratha,-20.7377,116.8463,23.67,39,2,6.45,AU,1683577518
164,geraldton,-28.7667,114.6,21.23,43,75,6.17,AU,1683577518
165,meulaboh,4.1363,96.1285,24.36,91,100,2.57,ID,1683577518
166,choibalsan,48.0667,114.5,9.02,37,4,2.21,MN,1683577519
167,svetlyy,54.675,20.1347,8.87,70,6,3.02,RU,1683577519
168,budva,42.2864,18.84,19.14,88,0,0.51,ME,1683577519
169,mariehamn,60.0973,19.9348,6.57,70,0,5.14,AX,1683577520
170,gejiu,23.306,103.1635,13.27,95,100,2.39,CN,1683577520
171,arteche,12.2645,125.4048,24.99,86,61,0.81,PH,1683577520
172,mangai,-4.05,19.5333,21.82,98,99,0.69,CD,1683577521
